text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CONFESSION_LVL2,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
הנאשם התארס תקופה קצרה לפני מעצרו בתיק זה.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"בהתייחסות לעבירה דנן, השירות התרשם, כי הנאשם נטל אחריות חלקית על ביצועה וטשטש את נסיבות מעורבותו בה, למעט נשיאת הנשק.",,,,,['לא'],,,,,,,,,,,,,,,,
הנאשם הביע תחושה של צער וחרטה שחווה בעקבות מעורבות בעבירה ובעיקר לנוכח השלכות התנהלות ההליך המשפטי עליו ועל רקע זה הוא מכיר בחומרת התנהגותו.,,,,,['לא'],,,,,,,,,,,,,,,,
"מבחינת גורמי שיקום, סבר השירות, כי הנאשם הצליח להתמיד במסגרות עבודה, זכה לתמיכה משפחתית וחברתית ולהערכת השירות ההליך המשפטי המחיש לו את חומרת מעשיו והיווה עבורו גורם מרתיע מהמשך מעורבות בפלילים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"לאור האמור ולאור כך שחשיפתו לגורמים עבריינים בכלא עלולה להרע עמו, בא שירות המבחן בהמלצה להשית על הנאשם עונש מאסר שירוצה בדרך של עבודות שירות וכן עונש מאסר מותנה.",,,,,,,,,,,,,,,,,,,,,
"הוגשה חוות דעת הממונה על עבודות השירות, לפיה הנאשם מתאים והביע את הסכמתו לריצוי המאסר בדרך של עבודות שירות.",,,,,,,,,,,,,,,,,,,,,
נסיבות האירוע אינן קלות.,,,,,,,,,,,,,,,,,,,,,
"הנאשם נהג ברכב מבלי שקיבל מעולם רישיון נהיגה, ללא ביטוח בתוקף ולאחר ששתה משקאות משכרים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"עבירות התעבורה מעידות על זלזול בחוקי התנועה תוך נטילת סיכונים מיותרים לחייו, לחיי הנוסעים ברכבו ולחיי אחרים, לרבות השוטרים.",,,,,,,,,,,,,,,,,,,,,
"על האמור יש להוסיף, כי נהיגתו המסוכנת בוצעה שעה שהוא נוהג ללא רישיון נהיגה, ללא ביטוח ואף חמור מזה, שעה שהוא נתון להשפעת משקאות משכרים.",,,,,,,,,,,,,,,,,,,,,
"הנאשם לא הסתפק בביצוע העבירות הנ""ל, אלא גם ניסה להימלט מהשוטרים בנסיעה מהירה בתוך העיר ואחר כך כשהרכב עצר ניסה להימלט רגלית.",,,,,,,,,,,,,,,,,,,,,
מעשיו אלה מעידים על זלזול ברשויות אכיפת החוק והיעדר מורא מאוכפיו.,,,,,,,,,,,,,,,,,,,,,
"במקרה זה בוצע ירי באוויר, ע""י חברו, בתוך העיר רהט וברור שגם ירי באוויר בנסיבות אלה נושא עמו סיכון מובנה.",,,,,,,,,,,,,[],,,,,,,,
"נראה שעל פי הפסיקה הנוהגת, מדיניות הענישה הנהוגה ונסיבות האירועים, מתחם העונש ההולם בנוגע לעבירת נשיאת הנשק נע בין שישה חודשים ועד שנתיים.",,,,,,,,,,,,,,,,,,,[],[],[]
"לזכות הנאשם אני לוקח בחשבון את הודאתו בעובדות כתב האישום המתוקן שחסכה זמן שיפוטי, זמנם של עדים ומזמנה של התביעה.",,,,,['כן'],,,,,,,,,,,,,,,,
"בנוסף לאמור, הנאשם הביע בפני שירות המבחן חרטה על מעשיו.",,,,,['לא'],,,,,,,,,,,,,,,,
עוד אני לוקח בחשבון את נסיבות חייו של הנאשם שברקע רצח שבוצע במשפחה כפי שעולה מהתסקיר.,,,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"את העובדה שאין לו עבר פלילי, את גילו הצעיר ואת חלקו המינורי באירוע הנשק כאשר יש לזכור שהנשיאה של הנשק ביחס לנאשם שבפני היא למעשה קונסטרוקטיבית בלבד ומי שהחזיק בנשק בפועל וגם ירה בו הוא אדם אחר.",,,,,,,,,,,,,,,,,,,,,
"יצוין, כי העבירות התעבורה בהן הורשע הנאשם, נהיגה ללא רישיון נהיגה, ללא ביטוח ותחת השפעת משקאות משכרים, לא מביאה בדרך כלל לתוצאה של מאסר לריצוי בפועל ומתחם הענישה הוא כפי שפורט לעיל וזאת הגם שבכתב האישום מתוארות נסיבות מחמירות ומנגד, העבירה של נשיאת נשק היא בדרך כלל בגינה מושת מאסר לריצוי בפועל, אך בתיק זה, כפי שכבר פורט, הנאשם לא נשא פיזית את הנשק וגם לא עשה בו שימוש.",,,,,,,,,,,,,,,,,,,,,
"עוד יש לציין, כי לראשונה בחייו הנאשם היה עצור מיום 10/2/13 ועד 19/3/13 ולאחר מכן שוחרר בתנאים מגבילים בהם שהה במשך שישה חודשים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : כן', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
יש לקוות שלמד את הלקח הראוי וגם הורתע.,,,,,,,,,,,,,,,,,,,,,
"6 חודשי מאסר לריצוי בפועל אשר ירוצו בעבודות שירות במעש באר שבע, חמישה ימים בשבוע, 8.5.",,,,,,,,,,,,,,,,,,,"['הנאשם קיבל 6 חודשי מאסר לריצוי בפועל, שירוצו בעבודות שירות במעש באר שבע, חמישה ימים בשבוע, 85 ש']",[],[]
6 חודשי מאסר על תנאי שלא יעבור במשך 3 שנים מהיום עבירה מהעבירות בהן הורשע בתיק זה או עבירה של נהיגה בזמן פסילה.,,,,,,,,,,,,,,,,,,,[],['6 חודשי מאסר על תנאי'],[]
"הנאשם ישלם קנס בסך 10,000 ₪ או  יאסר למשך שלושה חודשים תחתיו.",,,,,,,,,,,,,,,,,,,[],[],"['10,000 ₪']"
"אני פוסל את הנאשם מלקבל או להחזיק רישיון נהיגה לכל סוג של כלי רכב מנועי למשך שלוש שנים מהיום וזה במצטבר לכל עונש פסילה שהנאשם מרצה, אם מרצה.",,,,,,,,,,,,,,,,,,,[],[],[]
