text,reject,CIR_PUNISHMENT,CONFESSION,CIR_TYPE,CIR_ROLE,GENERAL_CIRCUM,CIR_AMOUNT,REGRET,RESPO,CIR_EQ
"אדגיש כי בעת קביעת העונש המתאים, בתוך מתחם הענישה, בהתאם לתיקון 113 לחוק העונשין אשר ביקש להבנות את שיקול הדעת השיפוטי, יש לקחת בחשבון ולבדוק האם במקרה הקונקרטי הטלת מאסר בפועל מאחורי סורג ובריח, גם אם מדובר בתקופה קצרה, יהיה בה כדי לקבוע שהנזק עולה על התועלת.",1,0,0,0,0,0,0,0,0,0
"אולם, אם איזה מן התשלומים לא יבוצע במלואו או במועדו תעמוד מלוא יתרת הקנס לתשלום מידי.",0,0,0,0,0,0,0,0,0,0
אורי אלמלם (עציר),0,0,0,0,0,0,0,0,0,0
אורי סעדון,1,0,0,0,0,0,0,0,0,0
"אותו אדם העביר לנאשם מזוודה עם דופן כפולה שבתוכה סמים מסוכנים מסוג מתיל כלורו מתקתינון (להלן: ""קתינון"" או ""הסמים""), במשקל של 6,305.175 גרם, המחולקים ל- 3 חבילות, על מנת שהנאשם יעביר את המזוודה לישראל.",0,0,0,1,0,0,1,0,0,0
"אחד מאחיו היה בבית בעת האירוע ומאז התדרדר מצבו הנפשי, הוא ניסה לשים קץ לחייו ואושפז לתקופות ארוכות בבית חולים פסיכיאטרי.",0,0,0,0,0,1,0,0,0,0
"אחר הערות מקדימות אלו תוצג להלן פסיקה במקרים דומים, תוך שאציין כי מודע אני להבדלים הקיימים בין נסיבות ה""מעשה"" ו""העושה"" שהיו באותם מקרים לאלו שבענייננו, על ההשלכה שיש לכך לעניין העונש.",1,0,0,0,0,0,0,0,0,0
אין לי עוד מה להוסיף.,1,0,0,0,0,0,0,0,0,0
"אין צורך להכביר במילים אודות שיעור הנזק, הישיר והעקיף, הנגרם למשתמשי הסם, בני משפחותיהם והציבור בכללותו, וזאת בפרט שעה שמדובר בסמים קשים.",1,0,0,0,0,0,0,0,0,0
איני מתעלמת מהעובדה שהנאשם לא הודה בעבירות וגם לא קיבל עליו אחריות לאחר ההרשעה בפני שירות המבחן.,0,0,1,0,0,0,0,0,1,0
אינני מפחיתה דבר מהתרשמותו החיובית של שירות המבחן ואף לא ממאמצי הנאשם לשמור על אורח חיים נורמטיבי אך אלו יבואו בחשבון בשלב גזירת הדין ולא לביטול הרשעה.,0,0,0,0,0,0,0,0,0,0
"אישום 1 – ביום 13.11.2018, בשעה 18:30 או קודם לכן התכתבה פלונית עם אדם אחר, באמצעות אפליקציית טלגראס, וביקשה לרכוש סמים מסוכנים מסוג קנבוס במשקל של 5 גרם בתמורה לסך של 350 ₪.",0,0,0,1,0,0,1,0,0,0
"אישום שני: כחודשיים עובר למתואר לעיל, פתח הנאשם חשבון משתמש ביישומון טלגרם.",1,0,0,0,0,0,0,0,0,0
"אכן, בתיק העיקרי מתקיימות מספר נסיבות חומרה, שכן הנאשם הואשם – בשני אישומים נפרדים – בביצוע שתי עבירות של סחר בסמים מסוכנים, שאחת מהם בוצעה בצוותא.",1,0,0,0,0,0,0,0,0,0
"אכן, הנאשם הודה בעובדות כתב האישום וכעת אין מקום לחזרה מהודאה אף ביחס לעובדה 7 לכתב האישום המתייחסת לגובה הנזק שנגרם לחברת החשמל.",0,0,1,0,0,0,0,0,0,0
"אכן, הנאשם לא לקח חלק באלימות פיזית או מילולית בה נקט האחר, אולם חלקו אינו שולי כלל.",1,0,0,0,0,0,0,0,0,0
"אלא שהנאשם מילא פיו מים בעניין זה, ולכן המצב המשפטי הוא שהנאשם עומד לדין לבדו.",1,0,0,0,0,0,0,0,0,0
אליאור ממן (עציר),1,0,0,0,0,0,0,0,0,0
"אם.טי או באייוואסקה היו חמורים יותר מענייננו מבחינת מסכת העובדות, השותפות בצוותא והכמויות, ולמרות זאת המאשימה הסכימה לעונשים של עבודות שירות, כאשר כעת היא טוענת שעל מתחם העונש ההולם להתחיל ממאסר בפועל.",0,0,0,1,0,0,0,0,0,0
"אמנם אין טענה לפיה הנאשם הוא שיזם את ייבוא הסמים ארצה, ברם הנאשם כבלדר הוא זה שהלכה למעשה החדיר במו ידיו את הסמים לתוך המדינה.",0,0,0,0,0,0,0,0,0,0
"אמנם מדובר בכמויות קטנות של סם, אך מדובר בסם קשה, אשר נמכר על ידי הנאשם בשתי הזדמנויות שונות מתוך ביתו, אותו הפך לתחנת סמים,  כאשר בהתאם לעובדות כתב האישום ממקום זה סחר גם נאשם 2, מכרו של הנאשם 1.",0,0,0,0,1,0,0,0,0,0
"אמנם נסיבות המכירה עלולות להעיד על זמינות הנאשם לסם, אך מנגד מדובר בעסקה בודדת בשווי 100 ₪ בלבד, ובכמות סם קטנה, אף ביחס לשיעורי ההחזקה העצמית הקבועים בתוספת השניה לפקודת הסמים המסוכנים (בענייננו 0.0882 גרם אל מול רף ההחזקה לצריכה עצמית של קוקאין העומד על 0.3 גרם).",0,0,0,1,0,0,1,0,0,0
אמרתי שאני צריך להקים את העסק וזה השיקום הכי טוב בשבילי.,0,0,0,0,0,0,0,0,0,0
"אני ארצח את אימא שלך, את אבא שלך.",1,0,0,0,0,0,0,0,0,0
אני במצב שאני לא יודעת כמה זמן אני אראה אותו.,1,0,0,0,0,0,0,0,0,0
אני גוזר על הנאשם מאסר בפועל לתקופה של  30 חודשים .,0,1,0,0,0,0,0,0,0,0
אני גוזר על הנאשם מאסר על תנאי לתקופה של 6 חודשים והתנאי הוא  שלא יעבור בתוך 3 שנים מיום שחרורו ממאסרו עבירת סמים מסוג עוון ויורשע בגינה.,0,1,0,0,0,0,0,0,0,0
אני גם לא יודע מה יהיה עם אמא שלי בשל מצבה הבריאותי.,0,0,0,0,0,1,0,0,0,0
אני גם לא רוצה לעבוד על אף אחד.,1,0,0,0,0,0,0,0,0,0
אני דן אפוא את הנאשם לעונשים הבאים:,1,0,0,0,0,0,0,0,0,0
אני דן את הנאשם לעונש מאסר למשך 12 חודשים (בניכוי ימי מעצרו 18.07.22 ועד 14.09.22).,0,1,0,0,0,0,0,0,0,0
אני מאד מתחרט על המעשים שלי.,0,0,0,0,0,0,0,1,0,0
"אני מודיעה לנאשם כי עליו להודיע לממונה על כל שינוי, אם יחול, בכתובת מגוריו, וכן עליו לעמוד בתנאי הפיקוח, שכן אי מילוי עבודות השירות על פי הנחיות המפקח, עלול להביא להפסקתן ולכליאה במתקן כליאה.",1,0,0,0,0,0,0,0,0,0
"אני מטיל על הנאשם קנס כספי בסך 15,000 ₪ או  60 ימי מאסר תמורתו.",0,1,0,0,0,0,0,0,0,0
אני מכריז על הנאשם סוחר סמים ומורה בהתאם על חילוט הכסף והרכוש שנתפסו ברשותו ושימשו כאמצעי לביצוע העבירות.,0,1,0,0,0,0,0,0,0,0
אני מכריז על הנאשם סוחר סמים ומורה על חילוט הרכוש כאמור בכתב האישום.,0,1,0,0,0,0,0,0,0,0
"אני סבורה, כי הנאשם עבר שינוי משמעותי בהתנהלותו ובתפיסותיו, לקח אחריות מלאה למעשיו והביע חרטה כנה עליהם, הוא מנהל אורח חיים נורמטיבי, שומר חוק ותורם לחברה.",0,0,0,0,0,1,0,1,1,0
"אני סבורה, שהמקרה דנן נכנס בגדר חריג זה, ואין בכך ששיקולי השיקום קיבלו משקל מכריע בבואי לגזור את דינו של הנאשם, כדי להמעיט מחומרת מעשיו.",1,0,0,0,0,0,0,0,0,0
אני פוסל את הנאשם מלהחזיק או לקבל רישיון נהיגה לתקופה של 15 חודשים.,0,1,0,0,0,0,0,0,0,0
אף לקיחת האחריות והמוטיבציה שגילה להיטיב את דרכיו הובילוני למסקנה לפיה אין מקום להכביד את היד עם הנאשם גם ביחס לרכיב עונשי זה.,0,0,0,0,0,1,0,0,1,0
"אציין כי לא מצאתי בפסיקה מתחם התואם את הנסיבות שבפנינו, ואולם לשם ההשוואה מצאתי להביא בנוסף את פסקי הדין הבאים, תוך שימת לב לנסיבותיהם החמורות יחסית:",1,0,0,0,0,0,0,0,0,0
אציין כי עונש המאסר המותנה הינו בר הפעלה בתיק זה ולעניין זה אני דוחה את טענת הסניגור ביחס לאופן ניסוח סעיף התנאי בגזר הדין של בית המשפט המחוזי וקיומו של ספק ביחס להפעלתו בהליך זה.,1,0,0,0,0,0,0,0,0,0
"אקס שהוא גם כדור פסיכיאטרי, כדורי שינה, אני לוקח 9 כדורים פעם אחת ועוד 5 כדורים.",0,0,0,0,0,1,0,0,0,0
"אשר לביצוע העבירות בהן הורשע- הנאשם מסר, כי ייבא את הסמים לצורך ריפוי עצמי כחלק מהתמודדות עם טראומת הילדות שעבר.",0,0,0,0,0,1,0,0,0,0
"אשר למדיניות הענישה הנוהגת, זו לרוב מחמירה ומסתיימת בנסיבות דומות במעצר או בעבודות שירות.",1,0,0,0,0,0,0,0,0,0
"אשר למדיניות הענישה הנוהגת, סקירת הפסיקה בנסיבות דומות מלמדת על טווח עונשי רחב המוטל על נאשמים, אם כי כלל האצבע הוא מאסר בפועל.",0,0,0,0,0,0,0,0,0,0
"אשר למיקום עונשו של הנאשם במתחם העונשי, הפנתה התביעה לכך שהנאשם הודה ולקח אחריות, חסך זמן שיפוטי וכן חסך את העדת הסוכן המשטרתי על כל המשתמע מכך ויש למקמו ברף הבינוני של המתחם.",0,0,1,0,0,0,0,0,1,0
"אשר למיקום עונשו של הנאשם בתוך מתחם העונש ההולם- ציינה ב""כ המאשימה, כי מדובר בנאשם בן 31, נעדר הרשעות קודמות, אשר שירת כלוחם בשירות צבאי מלא, נשוי, עובד למחייתו, ותסקיר שירות המבחן בעניינו חיובי מאוד.",0,0,0,0,0,1,0,0,0,0
"אשר לנסיבות ביצוע העבירה, טען הסניגור שלא ידוע מתי מעבדת הסמים הוקמה, כמה זמן הייתה קיימת ומי הקים אותה, ואין להניח כי פעלה זמן רב.",0,0,0,0,0,0,0,0,0,1
"אשר לנסיבות הקשורות בביצוע העבירה, בין הנסיבות הקשורות בביצוע העבירה יש לשקול את אלה, לעניין קביעת המתחם: מדובר בנסיבות של ביצוע עבירות מתוכנות למען רווח כלכלי, ואין במצוקה כלכלית כדי להצדיק את ביצוען.",1,0,0,0,0,0,0,0,0,0
"אשר לנסיבות הקשורות בביצוע העבירה, בין הנסיבות הקשורות בביצוע העבירה יש לשקול את אלה, לעניין קביעת המתחם: מדובר בעבירה מתכוננת שבוצעה מתוך רצון להשיג רווח כספי נוכח מצוקה כלכלית.",0,0,0,0,0,1,0,0,0,0
"אשר לנסיבות שלאינן קשורות לביצוע העבירה- התייחס ב""כ הנאשם לתסקיר שירות המבחן ולעולה ממנו אודות קורותיו של הנאשם, הרקע לביצוע העבירה, לקיחת האחריות והבנתו העמוקה את מעשיו.",0,0,0,0,0,0,0,0,1,0
"אשר לעבירה הנוכחית, הנאשם הכחיש עיסוק בגידול הקנביס וייחס את ביצוע העבירות לאחר, שחשש למסור את שמו.",0,0,1,0,0,0,0,0,0,0
"אשר לעונש המתאים לנאשם, ובשים לב למאמציו השיקומיים ומצבו האישי והכלכלי, עתר הסנגור להטלת עונש המצוי בתחתית המתחם, הימנעות מחילוט, וריצוי בחופף להפעלת העונשים המותנים.",1,0,0,0,0,0,0,0,0,0
"אשר לקביעת הענישה במסגרת המתחם האמור, על בית המשפט לשקול, את עברו של הנאשם; נסיבותיו האישיות והפרוגנוזה של גורמי ההערכה לגביו.",1,0,0,0,0,0,0,0,0,0
אשר על כן אני מכריזה על הנאשם כסוחר סמים.,0,0,0,0,0,0,0,0,0,0
"אשר על כן, אני גוזר על הנאשם את העונשים הבאים:",1,0,0,0,0,0,0,0,0,0
"אשר על כן, בשים לב לעקרון המנחה בענישה, לערכים המוגנים שנפגעו ולמידת הפגיעה בהם, למדיניות הענישה הנוהגת, ולנסיבות הקשורות בביצוע העבירה, אני מוצא כי בגין מכלול מעשיו של הנאשם נע מתחם הענישה בין 10 חודשי מאסר, ועד  24 חודשי מאסר בפועל.",1,0,0,0,0,0,0,0,0,0
"אשר על כן, לאור כל האמור לעיל, אני משית על הנאשם את העונשים הבאים:",1,0,0,0,0,0,0,0,0,0
את העבירות בתיק זה ביצע הנאשם תוך שנתנהל נגדו ההליך שבפניי.,1,0,0,0,0,0,0,0,0,0
את התמורה העביר המתלונן לנאשם.,1,0,0,0,0,0,0,0,0,0
"ב""כ המאשימה הגיש אסופת פסיקה התומכת בעמדתו זו.",1,0,0,0,0,0,0,0,0,0
"ב""כ המאשימה הפנתה בטיעוניה לגזרי דין בהם נגזרו עונשי מאסר חמורים על מי שהורשעו בהחזקת ובייבוא סמים ממריצים שלא לצריכה עצמית, נעמוד להלן על אלו מהם שמתאימים לענייננו אנו.",0,0,0,0,0,0,0,0,0,0
"ב""כ המאשימה הפנתה לפסיקה וביקשה ללמוד ממנה כי מתחם העונש ההולם נע בין 9 ל- 18 חודשי מאסר בפועל.",1,0,0,0,0,0,0,0,0,0
"ב""כ המאשימה הפנתה לתסקירים וטענה כי ניתן ללמוד מהם שהנאשם ""דורך במקום"" מזה ארבע שנים, בהעדר הליך טיפולי משמעותי המצדיק חריגה לקולה מהמתחם, בשים לב כי הטיפול בקהילת ""מכורים לחיים"" אינו מתאים לו וממילא לא צלח.",0,0,0,0,0,1,0,0,0,0
"ב""כ המאשימה חזר על נסיבות ביצוע העבירה והתייחס לנזקים הישירים והעקיפים הנגרמים כתוצאה מתופעת השימוש בסמים.",1,0,0,0,0,0,0,0,0,0
"ב""כ המאשימה טענה בדיון מיום 30/5/24 כי למקרא התסקירים וכן עדות עדי האופי עולה לעמדתה כי אין מקום לחריגה ממתחם העונש הראוי ולקבל את המלצת שרות מבחן.",1,0,0,0,0,0,0,0,0,0
"ב""כ המאשימה טענה כי התנהלות הנאשם התבצעה באופן שיטתי ונרחב, דבר המלמד על היות הנאשם פעיל בשרשרת ההפצה.",1,0,0,0,0,0,0,0,0,0
"ב""כ המאשימה לא הגישה ראיות לעונש, וב""כ הנאשם הגיש מסמכים רפואיים בדבר טיפולים שהנאשם ורעייתו עוברים, ותעודה בדבר שירותו של הנאשם במילואים במסגרת מלחמת חרבות ברזל (נ/1).",0,0,0,0,0,1,0,0,0,0
"ב""כ המאשימה עוה""ד אנבל לוקס, טענה כי עסקינן בפרשייה רחבה בה נטל הנאשם חלק בשרשרת הפצת סמים שפעלה מתוך מניע כלכלי.",1,0,0,0,0,0,0,0,0,0
"ב""כ המאשימה עמדה בטיעוניה על חומרת העבירות שביצע הנאשם, הערכים המוגנים בחובן, מעורבותו העמוקה של הנאשם בפלילים, ועברו המכביד הרלוונטי.",1,0,0,0,0,0,0,0,0,0
"ב""כ המאשימה עמדה על כך שמדובר בהסדר טיעון מקל, אך עתרה כאמור לכיבודו.",1,0,0,0,0,0,0,0,0,0
"ב""כ המאשימה עתרה לקבוע מתחם עונש הולם שבין 42 - 65 חודשי מאסר ולהשית על הנאשם 45 חודשי מאסר בפועל, מאסר על תנאי וקנס משמעותי.",1,0,0,0,0,0,0,0,0,0
"ב""כ המאשימה, עו""ד ליאורה זמיר, הגישה את גיליון הרשעות התעבורה של הנאשם, הכולל 39 הרשעות, לרבות בעבירות של נהיגה תחת השפעה אלכוהול או סמים, נהיגה בקלות ראש ונהיגה ללא רישיון.",0,0,0,0,0,1,0,0,0,0
"ב""כ המאשימה: עו""ד לילך גולן, עו""ד מיכל כהן ומתמחה, מר פינחס סנדיק",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם אבחן את הפסיקה שהוגשה והתנגד לטיעון לגבי פוטנציאל הנזק בשל שימוש בסמים כאשר המדינה עצמה מתירה שימוש בסמים.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם בטיעוניו הדגיש כי המתחם לו עתרה המאשימה ""אינו מתכתב עם מדיניות הענישה במקרם דומים"", וביקש לקבוע מתחם עבור כל העבירות אותן ביצע הנאשם הנע מעונש מאסר אשר יכול וירוצה בדרך של עבודות שירות ועד 16 חודשי מאסר בפועל.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם ביקש להסתפק בעונש מאסר לריצוי בעבודות שירות.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם ביקשו להתחשב בהודאתו, בלקיחת האחריות, בפוטנציאל השיקומי הגבוה, ובמאמצים הכנים שעורך לייצב את אורח חייו, הכוללים הקפדה על תעסוקה יציבה ושיתוף פעולה עם היחידה הטיפולית.",0,0,0,0,0,1,0,0,1,0
"ב""כ הנאשם הוסיף וטען, כי מתחם העונש ההולם לו טענה ב""כ המאשימה איננו עולה בקנה אחד עם מדיניות הענישה הנוהגת ועם נסיבות ביצוע העבירה.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם הוסיף כי בהתאם לאמור אין לזקוף לחובתו של הנאשם את מלוא התקופה שצוינה במסמך של חברת החשמל.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם הוסיף כי לנוכח נתוניו אלו ולנוכח נסיבותיו האישיות-משפחתיות יש למקם את עונשו של הנאשם בתחתית מתחם העונש שייקבע.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם הסביר שהנאשם ביצע את העבירה בתקופה שהיה מכור לסמים ותחת השפעת סמים ולא היה אמור לגרוף רווח ממכירת הסמים.",0,0,0,0,0,1,0,0,0,0
"ב""כ הנאשם הפנה להודאתו המידית של הנאשם, לחיסכון בשמיעת העדים ובזמן שיפוטי יקר.",0,0,1,0,0,0,0,0,0,0
"ב""כ הנאשם הפנה למספר פסקי דין כאשר המתחמים נעים בין 24 ועד 48 חודשי מאסר בפועל, והעונשים נעים בין 14 ועד 32 חודשי מאסר בפועל.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם הפנה לפסיקה (טע/2), שם משיקולי שיקום חרגו בתי המשפט ממתחם העונש ההולם ועל הנאשמים הוטל עונש צופה פני עתיד בצירוף צו מבחן וצו של""צ.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם התייחס בטיעוניו למתחם העונש ההולם ולעונש שאליהם עתרה המאשימה וטען כי אלו אינם מידתיים ואינם נתמכים בענישה הנוהגת, אף לא בזו אליה הפנתה המאשימה בטיעוניה.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם חזר ואמר כי הנאשם הבין את הפסול במעשיו, הביע חרטה אמיתית וכנה.",0,0,0,0,0,0,0,1,0,0
"ב""כ הנאשם טען כי כל עדי האופי שהעידו השינוי העמוק שחל בנאשם מרגע יציאתו מהמעצר דרך שרות המבחן והליכי הטיפול בשרות המבחן.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם טען כי מתחם העונש ההולם נע בין 18 ל-36 חודשי מאסר ועתר לעונש של 18 חודשי מאסר לצד מאסר על תנאי ופיצוי בסך של 10,000 ש""ח.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם טען כי מתחם העונש ההולם צריך להיות זהה למתחם שנקבע בגזר דינו של השותף, אשר נע בין 6 ל-18 חודשי מאסר בפועל.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם טען לעניין תיקון 113, בנסיבות הקשורות בביצוע העבירה, לטענתו העבירות נעברו על-ידי הנאשם בשל חששו מפגיעה בו ולחצים יומיומיים שקיבל מאנשים שוליים.",0,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם טען, כי הרקע לביצוע העבירה הוא התנסותו של הנאשם בשתיית חליטת איוואסקה במהלך טיול בקולומביה, שם הדבר מותר, אשר השפיעה והציפה אצלו הבזקים מפגיעות שחווה בילדותו, אשר השפיעו באופן לא מודע על חייו.",0,0,0,0,0,1,0,0,0,0
"ב""כ הנאשם סבר, כי בחינת נסיבות ביצוע העבירה בענייננו, לצד אירועים דומים של ייבוא אייוואסקה בכמויות ובדרך שהנאשם ייבא, מלמדת שמתחם הוענש ההולם נע בין שירות לתועלת הציבור בהיקף נרחב ועד לשנת מאסר בפועל.",0,0,0,1,1,0,0,0,0,0
"ב""כ הנאשם עו""ד רונן רבי",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם עתר כאמור, לסטות בעניינו של הנאשם ממתחם העונש ההולם ולהשית עליו ענישה שיקומית.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם ציין כי הנאשם עבר כברת דרך אשר עתידה להימשך אף לאחר גזר הדין, כל זאת במידה ובית המשפט יורה על צו מבחן, ועונש מאסר בדרך של עבודות שירות.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם, עו""ד אילן חכם, עתר לאמץ את המלצת שירות המבחן, לטענתו הנאשם הוכיח כי ראוי לענישה שיקומית ולעונש החורג מהמתחם מטעמי שיקום.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם, עוה""ד שלף ורבינוביץ', עתרו לאמץ את המלצות שירות המבחן.",1,0,0,0,0,0,0,0,0,0
"ב""כ הנאשם: עו""ד משה זכות",1,0,0,0,0,0,0,0,0,0
"ב""כ הצדדים טענו בפניי.",1,0,0,0,0,0,0,0,0,0
"ב""כ התביעה ציין: התופעה של ייבוא הסם והברחתו לארץ דרך נמל התעופה, הינה נפוצה; מדיניות הענישה בעבירות אלה מחייבת להשית על בלדרי סם תקופת מאסר משמעותית; מהתסקיר עולה, שהדרך בה הלך הנאשם לא נכפתה עליו.",1,0,0,0,0,0,0,0,0,0
ב.,1,0,0,0,0,0,0,0,0,0
"באוגוסט 2023 הוצא הנאשם מההליך הקהילתי, בהיותו בשלב 2 מתוך חמשת שלבי תכנית השלבים.",1,0,0,0,0,0,0,0,0,0
באותן הנסיבות שימש המתלונן כשליח של השניים לצורך ביצוע עסקאות סם.,1,0,0,0,0,0,0,0,0,0
