Source_Verdict,Target_Verdict,label
ME-22-03-52964-443,ME-17-05-35227-215,3
ME-18-04-19642-504,ME-21-10-18557-340,3.5
ME-16-03-59260-279,SH-11-12-35552-181,3
ME-16-06-44840-433,ME-14-10-31218-522,2.5
ME-20-01-62688-591,0398-09-16,5
sh-10-05-7434-952,SH-18-06-11098-353,2
SH-19-07-60805-168,SH-16-11-7544-55,3.5
SH-14-11-8987-965,ME-16-12-50986-619,1
SH-16-09-33552-535,ME-16-11-56385-886,1
ME-17-08-28615-573,ME-17-05-35227-215,3.5
SH-16-11-7544-55,ME-16-10-12213-904,2
ME-12-03-15148-775,ME-16-08-29984-51,2
ME-15-02-9111-399,ME-14-07-13179-197,2
SH-20-02-52091-995,ME-17-05-35227-215,1
SH-16-11-19417-55,SH-16-11-7544-55,4
ME-19-01-53615-8,SH-15-12-65958-120,1
SH-14-02-28659-762,SH-17-10-10556-234,4
m07001074-98,ME-17-05-35227-215,1
SH-18-07-52337-770,ME-16-06-50916-362,1
ME-13-10-28139-807,SH-12-07-47766-859,2
SH-17-11-53539-235,m07001074-98,4
ME-16-11-69158-529,ME-12-03-13401-281,4
ME-21-06-43085-219,SH-17-08-47445-166,1.5
ME-16-05-19384-544,m08000207-175,1.5
ME-12-05-33444-999,0613-04-17,2
0613-04-17,ME-12-04-33577-700,2
SH-11-05-24791-315,ME-16-02-59812-881,2
ME-16-01-31498-921,ME-16-10-9348-780,1.5
ME-09-11-7566-913,ME-16-06-50916-362,2
ME-20-01-17935-7,SH-23-03-19819-247,3
SH-17-08-47445-166,SH-16-11-7544-55,4
ME-16-11-13999-863,m01008097-376,1
ME-16-06-50916-362,ME-15-03-29911-554,4
SH-16-11-49772-358,ME-17-02-54432-484,2
ME-14-02-51828-88,ME-14-03-48488-922,1
ME-14-12-6904-57,ME-18-04-19642-504,1
ME-18-10-30972-637,ME-14-11-7498-539,4.5
ME-17-02-54432-484,ME-16-07-45228-25,4
ME-09-06-10774-130,SH-20-02-52091-995,2.5
SH-15-03-49530-992,ME-16-05-9983-155,3.5
